               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029189,            0.026831,           0.0019095,             0.98068,                   1,             0.98482,             0.77852,            0.015796,           0.0082036,          0.00091219,           0.0094225,           0.0094225,           0.0094225
                  37,             0.02868,             0.02615,           0.0018006,             0.98775,                   1,               0.995,             0.67806,            0.020006,           0.0087467,          0.00066671,            0.009406,            0.009406,            0.009406
                  38,            0.028888,            0.025219,           0.0017977,             0.97871,             0.99773,             0.98343,             0.56933,              0.0195,           0.0099319,           0.0011789,           0.0093895,           0.0093895,           0.0093895
                  39,            0.027911,            0.027098,           0.0018052,             0.98074,                   1,             0.98956,             0.72859,            0.017038,           0.0093156,          0.00086627,            0.009373,            0.009373,            0.009373
                  40,            0.028524,            0.025742,           0.0018237,             0.97848,              0.9994,             0.99088,             0.72192,            0.013993,           0.0091662,          0.00096321,           0.0093565,           0.0093565,           0.0093565
                  41,            0.028458,            0.025115,           0.0017934,             0.98712,             0.94293,             0.97443,             0.60334,            0.024238,             0.01176,          0.00079126,             0.00934,             0.00934,             0.00934
                  42,            0.028079,            0.025729,           0.0016163,             0.98106,             0.99773,             0.98995,              0.7049,            0.014996,            0.008671,          0.00076275,           0.0093235,           0.0093235,           0.0093235
                  43,            0.026601,            0.024684,           0.0018428,             0.98006,                   1,             0.98765,             0.78103,            0.014571,           0.0075486,          0.00096517,            0.009307,            0.009307,            0.009307
                  44,            0.026969,            0.025542,           0.0016969,             0.98082,                   1,             0.98383,             0.75231,            0.014144,           0.0087101,          0.00083199,           0.0092905,           0.0092905,           0.0092905
                  45,            0.027444,            0.024826,            0.001645,              0.9771,             0.99773,              0.9833,             0.61128,            0.021886,           0.0091313,            0.000806,            0.009274,            0.009274,            0.009274
                  46,            0.027232,             0.02455,           0.0014969,             0.99017,             0.99008,             0.99493,             0.73684,            0.019487,            0.010494,          0.00065751,           0.0092575,           0.0092575,           0.0092575
                  47,            0.026469,            0.024717,           0.0015887,             0.74746,             0.22107,             0.25682,            0.084595,            0.087008,            0.018488,            0.013507,            0.009241,            0.009241,            0.009241
                  48,            0.026496,            0.024128,           0.0016085,              0.9791,             0.98492,             0.99402,             0.69823,            0.020256,            0.012443,           0.0012939,           0.0092245,           0.0092245,           0.0092245
                  49,            0.025481,            0.024763,           0.0016199,              0.9829,                   1,             0.99011,             0.72939,            0.015751,           0.0081004,          0.00070271,            0.009208,            0.009208,            0.009208
                  50,            0.025339,             0.02413,           0.0015029,             0.97874,             0.99773,             0.98215,             0.78317,            0.013084,           0.0089702,           0.0009191,           0.0091915,           0.0091915,           0.0091915
                  51,            0.026273,            0.024287,           0.0016376,             0.94078,             0.95972,             0.99422,             0.73085,            0.019556,            0.013246,          0.00086789,            0.009175,            0.009175,            0.009175
                  52,            0.026843,            0.023796,           0.0014501,             0.98045,                   1,             0.98638,             0.77878,            0.013735,           0.0086411,          0.00065064,           0.0091585,           0.0091585,           0.0091585
                  53,            0.024331,            0.023785,           0.0013779,             0.87927,              0.8273,             0.89947,             0.59317,            0.030702,             0.01749,           0.0013527,            0.009142,            0.009142,            0.009142
                  54,            0.025122,            0.023801,           0.0015094,             0.98121,                   1,             0.99284,             0.75217,             0.01389,           0.0092657,          0.00074053,           0.0091255,           0.0091255,           0.0091255
                  55,             0.02542,            0.023438,           0.0014099,             0.72011,             0.61581,             0.66893,             0.43686,             0.04201,            0.024511,           0.0023493,            0.009109,            0.009109,            0.009109
                  56,            0.025345,            0.024296,           0.0015665,             0.98469,             0.99773,             0.99298,             0.79306,            0.014104,           0.0078105,          0.00081117,           0.0090925,           0.0090925,           0.0090925
                  57,            0.023589,             0.02273,           0.0014235,             0.97879,             0.99773,             0.98309,             0.71412,            0.013315,           0.0077506,          0.00053673,            0.009076,            0.009076,            0.009076
                  58,            0.024799,            0.022984,           0.0013871,             0.81118,             0.37001,             0.52352,             0.33716,            0.051626,            0.024935,           0.0041639,           0.0090595,           0.0090595,           0.0090595
                  59,            0.023652,            0.023291,            0.001514,             0.72328,             0.32883,             0.42847,             0.24569,            0.056126,            0.024293,           0.0044299,            0.009043,            0.009043,            0.009043
                  60,            0.024929,            0.023925,           0.0013943,             0.64831,              0.4446,             0.49127,              0.2633,             0.03854,            0.031518,           0.0033116,           0.0090265,           0.0090265,           0.0090265
                  61,            0.023161,            0.022742,           0.0014173,             0.14609,             0.36591,             0.27419,             0.10199,            0.074412,            0.024687,            0.010681,             0.00901,             0.00901,             0.00901
                  62,            0.024693,            0.022744,           0.0013533,             0.99035,             0.99773,              0.9932,             0.71475,            0.015501,           0.0086187,          0.00054083,           0.0089935,           0.0089935,           0.0089935
                  63,            0.024355,            0.021826,           0.0014066,             0.17089,             0.12273,             0.14627,            0.044254,            0.094011,            0.021726,            0.032265,            0.008977,            0.008977,            0.008977
                  64,            0.023783,            0.022214,           0.0014479,             0.98595,                   1,             0.99331,             0.75921,            0.014866,           0.0085772,          0.00076871,           0.0089605,           0.0089605,           0.0089605
                  65,            0.023205,            0.022726,           0.0014048,             0.98104,                   1,             0.98274,             0.72568,             0.01421,           0.0080904,          0.00063534,            0.008944,            0.008944,            0.008944
                  66,            0.024124,            0.022518,           0.0013137,              0.9808,                   1,             0.98622,             0.80181,            0.012777,           0.0090452,          0.00056868,           0.0089275,           0.0089275,           0.0089275
                  67,            0.023259,            0.022375,           0.0013034,               0.985,                   1,             0.99389,             0.81799,            0.012783,           0.0078605,          0.00053601,            0.008911,            0.008911,            0.008911
                  68,            0.023029,            0.022186,           0.0012955,             0.18849,             0.23182,             0.22818,            0.089794,            0.090778,            0.023943,            0.048222,           0.0088945,           0.0088945,           0.0088945
                  69,             0.02231,            0.022393,           0.0013535,             0.98096,                   1,             0.98975,             0.76853,            0.012642,           0.0086588,          0.00071011,            0.008878,            0.008878,            0.008878
                  70,            0.022814,            0.021945,           0.0011979,             0.98109,                   1,             0.98566,             0.79682,            0.013053,           0.0072917,          0.00058761,           0.0088615,           0.0088615,           0.0088615
                  71,            0.022709,            0.021835,            0.001184,             0.99778,                   1,               0.995,             0.75283,            0.013732,           0.0076553,          0.00069959,            0.008845,            0.008845,            0.008845
                  72,             0.02301,            0.022107,           0.0013636,              0.9808,                   1,             0.98752,             0.78945,            0.012508,           0.0078266,           0.0005621,           0.0088285,           0.0088285,           0.0088285
                  73,            0.023637,             0.02215,           0.0013293,             0.98468,                   1,              0.9941,             0.80117,            0.014159,           0.0076599,          0.00055184,            0.008812,            0.008812,            0.008812
                  74,             0.02327,            0.021078,           0.0013539,             0.98041,                   1,             0.98532,              0.8183,            0.012283,           0.0080584,           0.0005955,           0.0087955,           0.0087955,           0.0087955
                  75,            0.022015,            0.021487,           0.0011878,             0.99485,             0.98682,               0.995,             0.79105,            0.017449,            0.010284,          0.00055394,            0.008779,            0.008779,            0.008779
                  76,            0.022964,            0.021863,           0.0013303,             0.20452,             0.60682,             0.40433,             0.19803,            0.071924,            0.025642,            0.017881,           0.0087625,           0.0087625,           0.0087625
                  77,            0.022104,            0.020946,           0.0011706,             0.99304,             0.99773,              0.9945,             0.77395,            0.015387,           0.0083886,          0.00055981,            0.008746,            0.008746,            0.008746
                  78,            0.022624,            0.022697,           0.0012278,             0.79097,             0.21747,             0.32743,             0.17668,            0.042645,            0.036394,           0.0059189,           0.0087295,           0.0087295,           0.0087295
                  79,            0.022007,            0.021208,           0.0011836,             0.75244,               0.475,             0.56296,               0.264,            0.039775,            0.037023,           0.0035487,            0.008713,            0.008713,            0.008713
